Image,La2_length,La2_mm,La3_length,La3_mm,La4_length,La4_mm,Ra2_length,Ra2_mm,Ra3_length,Ra3_mm,Ra4_length,Ra4_mm,Body_length,Body_mm
img (1008).JPG,108.659985,0.215375559,145.6959303,0.288784712,147.4434824,0.292248545,93.73412169,0.185790923,136.538763,0.27063424,141.0950806,0.279665343,2368.226696,4.694075281
,,,,,,,,,,,,,,
img (1020).JPG,113.5178917,0.225004443,141.732167,0.280928115,121.8241099,0.241468244,106.3521026,0.210801093,140.315183,0.278119503,136.2454129,0.270052789,2514.493414,4.983991354
,,,,,,,,,,,,,,
img (1022).JPG,97.45873023,0.19317349,127.0334333,0.251793673,125.4127695,0.248581347,99.87278862,0.197958409,123.3265024,0.244446145,119.0271862,0.235924446,2186.065154,4.333011876
,,,,,,,,,,,,,,
img (1024).JPG,98.3831616,0.195005811,127.9608262,0.253631864,124.1906698,0.246159016,97.09040896,0.192443439,125.0856676,0.247932996,123.4722114,0.244734956,2170.739391,4.302634596
,,,,,,,,,,,,,,
img (1028).JPG,77.04493517,0.152711194,88.78649742,0.175984209,87.17585621,0.172791749,84.00324,0.166503288,81.11121379,0.160770987,83.24507802,0.165000531,1718.36872,3.405988179
,,,,,,,,,,,,,,
img (1030).JPG,103.081782,0.204318972,121.6061147,0.241036155,138.0559569,0.273641479,105.1938829,0.208505379,139.6089955,0.276719765,137.8330481,0.27319965,2202.597209,4.365780155
,,,,,,,,,,,,,,
img (1032).JPG,104.8144144,0.207753233,135.7754146,0.269121203,138.7201445,0.274957968,108.5738086,0.215204749,140.1760874,0.277843801,140.399966,0.278287552,2211.834083,4.384088615
,,,,,,,,,,,,,,
img (1034).JPG,98.00437794,0.194255022,132.5166106,0.262661909,142.4720974,0.282394735,103.3390818,0.204828968,135.4188569,0.268414468,143.9486823,0.285321482,2233.948458,4.427921639
,,,,,,,,,,,,,,
img (1036).JPG,106.0462125,0.210194787,128.5727489,0.254844759,128.1882017,0.254082546,96.13993615,0.190559501,124.9761361,0.247715893,119.5140162,0.236889395,2087.310401,4.137269532
,,,,,,,,,,,,,,
img (1038).JPG,110.370744,0.218766464,137.2286507,0.27200167,143.4883964,0.284409147,101.3403917,0.200867353,134.1134007,0.265826916,146.6377004,0.2906514,2291.73617,4.542462984
,,,,,,,,,,,,,,
img (1039).JPG,92.48229372,0.183309668,131.4663709,0.260580223,128.9688487,0.255629871,103.9744568,0.206088348,129.521875,0.256726027,129.011472,0.255714355,1976.130333,3.916898903
,,,,,,,,,,,,,,
img (1040).JPG,102.8784915,0.203916029,130.2044167,0.258078897,132.591971,0.262811282,108.5696411,0.215196488,125.9162632,0.249579324,129.5982616,0.256877434,1994.376494,3.95306472
,,,,,,,,,,,,,,
img (1042).JPG,106.2614778,0.210621465,137.8045532,0.27314317,144.7982997,0.287005514,107.0698809,0.212223805,141.0411407,0.279558428,148.124124,0.293597648,2224.99855,4.410181978
,,,,,,,,,,,,,,
img (1045).JPG,108.9822694,0.216014361,133.5971372,0.264803627,131.500417,0.260647706,104.1973052,0.206530057,137.9458654,0.273423266,134.2568393,0.266111226,2150.56963,4.262656002
,,,,,,,,,,,,,,
img (1048).JPG,106.7897817,0.211668619,145.1062208,0.287615846,145.838319,0.289066942,103.2073399,0.204567841,143.261083,0.283958588,132.9894831,0.263599193,2269.902182,4.499185716
,,,,,,,,,,,,,,
img (1050).JPG,119.0603006,0.235990083,130.7757645,0.259211369,140.2493217,0.277988959,104.8132721,0.207750968,144.8682241,0.287144111,142.1181003,0.281693076,2140.091567,4.241887375
,,,,,,,,,,,,,,
img (1052).JPG,106.631673,0.211355231,136.8312526,0.271213985,135.6949126,0.26896164,104.833276,0.207790618,136.5944146,0.270744548,131.9484425,0.26153574,2221.84584,4.403932974
,,,,,,,,,,,,,,
img (1055).JPG,98.24392931,0.194729838,116.595624,0.231104834,138.3271325,0.274178977,112.9914523,0.223960985,127.6333486,0.252982769,140.556514,0.278597847,2102.794462,4.167960577
,,,,,,,,,,,,,,
img (1057).JPG,102.7832268,0.203727204,125.1081988,0.247977655,120.2404424,0.238329248,101.0815946,0.20035439,130.3783151,0.258423582,128.5124902,0.25472532,2007.160449,3.978403868
,,,,,,,,,,,,,,
img (1060).JPG,114.2267474,0.22640947,142.3918578,0.282235692,133.6330725,0.264874855,109.8966048,0.21782667,143.2188325,0.283874843,135.5717818,0.268717581,2488.772605,4.933009995
,,,,,,,,,,,,,,
