Image;La2_length;La2_mm;La3_length;La3_mm;La4_length;La4_mm;Ra2_length;Ra2_mm;Ra3_length;Ra3_mm;Ra4_length;Ra4_mm;Body_length;Body_mm
img (10).JPG;115.5088309;0.233159621;123.0329151;0.248347314;143.4274172;0.289514508;114.6977587;0.231522437;128.4945684;0.2593719;145.9188183;0.29454351;2130.517931;4.300543523
;;;;;;;;;;;;;;
img (102).JPG;90.87136106;0.183427812;132.8892641;0.268242785;138.2829941;0.279130265;100.1001739;0.202056574;115.8879522;0.233924894;128.3452209;0.259070436;1920.503727;3.876620675
;;;;;;;;;;;;;;
img (113).JPG;112.2501843;0.226581901;134.3797333;0.271251362;148.9590312;0.300680312;89.52006909;0.18070017;149.6241085;0.3020228;154.7319634;0.312333228;2010.706026;4.058697957
;;;;;;;;;;;;;;
img (115).JPG;;;;;;;;;;;;;2031.443217;4.100556883
;;;;;;;;;;;;;;
img (116).JPG;99.74253407;0.201334663;135.5147099;0.273542362;131.9996023;0.266446964;106.8602295;0.215702042;120.250167;0.242730216;130.8190828;0.264064034;;
;;;;;;;;;;;;;;
img (118).JPG;97.17472995;0.196151438;123.623676;0.249539791;128.8905606;0.260171228;105.6112012;0.213180824;116.0986477;0.234350193;154.5727943;0.312011938;2239.22136;4.519966143
;;;;;;;;;;;;;;
img (120).JPG;85.74557427;0.173081188;102.3141001;0.206525481;110.4503221;0.2229488;94.23412489;0.190215698;103.5905715;0.209102094;129.2333262;0.260863115;2001.527876;4.040171461
;;;;;;;;;;;;;;
img (122).JPG;97.45587173;0.196718935;140.3592375;0.283321253;140.8424025;0.284296542;110.8079191;0.223670626;124.609421;0.25152956;157.4946817;0.317909896;2415.524552;4.875841838
;;;;;;;;;;;;;;
img (124).JPG;106.0393851;0.214045131;116.1474138;0.234448629;121.9687106;0.246199171;103.8094531;0.209543916;124.3834363;0.2510734;122.1780702;0.246621772;1905.347005;3.84602617
;;;;;;;;;;;;;;
img (127).JPG;100.0632974;0.201982137;116.0500618;0.23425212;138.0539073;0.278667843;106.5903252;0.215157228;122.694856;0.247664927;133.8417193;0.270165358;2072.353313;4.183135699
;;;;;;;;;;;;;;
img (129).JPG;114.6922468;0.231511311;131.0218781;0.264473385;143.6606467;0.289985292;106.234285;0.214438545;127.052469;0.256460959;157.0496005;0.31701148;2089.992583;4.218741337
;;;;;;;;;;;;;;
